CNPJ;Razao_social;Nome_fantasia;Tipo;Data_abertura;Situacao_cadastral;Data_da_situacao_cadastral;Capital_social;Natureza_juridica;MEI;Logradouro;Numero;Complemento;CEP;Bairro;Municipio;UF;Telefone;Email;Quadro_societario;Atividade_principal;Atividades_secundaria
21296885000198;MATHEUS COMERCIO DE MATERIAIS ELETRICA E HIDRAULICA LTDA;MSC MATERIAIS ELETRICA E HIDRAULICA;MATRIZ;27/10/2014;ATIVA;27/10/2014;88000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R FREI RUPERTO DE JESUS;142;NONE;03985050;JARDIM ANGELA (ZONA LESTE);SAO PAULO;SP;1127053428;contatos@alvescarvalhoengenharia.com.br;['EDSON DE CARVALHO - Sócio-Administrador', 'MARIA ALDIJEANE FONTES DOS SANTOS - Sócio-Administrador'];['4742300 - Comércio varejista de material elétrico'];['4744003 - Comércio varejista de materiais hidráulicos']
07247209000608;MARSON DISTRIBUICAO LTDA;MARSON COMERCIO E DISTRIBUIO DE MATERIAIS DE CONSTRUO L;FILIAL;16/12/2013;ATIVA;16/12/2013;9230000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;ROD BR101;3136;SALA 103         KM  116;88317000;SALSEIROS;ITAJAI;SC;['4732617700', '4732617700'];societario@roderjan.com.br;['RAFAEL GUSTAVO MARSON - Sócio-Administrador', 'RODRIGO HENRIQUE MARSON - Sócio-Administrador', 'EDSON JOSE MARSON - Sócio-Administrador'];['4679699 - Comércio atacadista de materiais de construção em geral'];['4930202 - Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional', '4321500 - Instalação e manutenção elétrica', '4322301 - Instalações hidráulicas, sanitárias e de gás', '4744099 - Comércio varejista de materiais de construção em geral']
08183344000195;AWALTECH AUTOMACAO INDUSTRIAL E REPRESENTACAO COMERCIAL LTDA;AWALTECH-AUTOMACAO E INSTRUMENTACAO INDUSTRIAL;MATRIZ;15/05/2006;ATIVA;15/05/2006;300000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R EDELCIO CAVALCANTE;253;NONE;13388162;JARDIM SAO FRANCISCO;NOVA ODESSA;SP;1934764004;financeiro@awaltech.com.br;['ALESSANDRO LUIZ DONARDI MANTOVANI - Sócio-Administrador', 'ANDREIA CRISTINA BARBOSA MANTOVANI - Sócio'];['4689399 - Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente'];['4618499 - Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente', '3314702 - Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas', '3314799 - Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente', '3313999 - Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente', '7490104 - Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários', '8599604 - Treinamento em desenvolvimento profissional e gerencial']
15824932000126;COMERCIO VAREJISTA POR CATALOGO LTDA;SEMPRE VIVA;MATRIZ;02/07/2012;ATIVA;02/07/2012;10000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R ITAPORANGA;407;NONE;49010140;CENTRO;ARACAJU;SE;7932150197;NONE;['ELZENITA DOS SANTOS SILVA - Sócio-Administrador', 'PAULO ROBERTO DOS SANTOS SILVA - Sócio'];['4615000 - Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico'];['4759899 - Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente']
21507007000174;ACTANS PARTICIPACOES LTDA.;NONE;MATRIZ;01/12/2014;ATIVA;01/12/2014;1000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;AV DAS NACOES UNIDAS;4777;"ANDAR: 16; : PARTE B ; SALA: 2;";05477000;JARDIM UNIVERSIDADE PINHEIROS;SAO PAULO;SP;1135767200;vlc@vlcconsultores.com.br;['ANGEL DOMINGO TESTA - Sócio', 'ROBERTO BIELAWSKI - Sócio', 'RODRIGO MARTIN FERRAIOLE TESTA - Administrador'];['6462000 - Holdings de instituições não-financeiras'];NONE
05763921001100;CAV SUL - CENTRO DE APOIO DE VENDAS DE PRODUTOS PESSOAIS E ARTIGOS PARA LAR LTDA.;FILIAL RIBEIRAO PRETO;FILIAL;18/10/2011;ATIVA;18/10/2011;50000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R BARRETOS;1177;NONE;14075000;VILA ELISA;RIBEIRAO PRETO;SP;1121415401;andresacosta@cavsultupperware.com.br;['HERMANO DE VILLEMOR AMARAL NETO - Sócio', 'LATIN AMERICA INVESTMENTS, INC. - Sócio Pessoa Jurídica Domiciliado no Exterior', 'JULIO CESAR APARECIDO DA CRUZ - Administrador'];['4649499 - Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente'];['4646001 - Comércio atacadista de cosméticos e produtos de perfumaria', '4759899 - Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente', '4772500 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal']
16921820000156;WODEN INDUSTRIA E COMERCIO E SERVICOS EIRELI;NONE;MATRIZ;24/08/2012;ATIVA;24/08/2012;72400.0;2305 - EMPRESA INDIVIDUAL DE RESP.LIMITADA (DE NATUREZA EMPRESARIA);Não;R PROFESSOR ANTONIO AUSTREGESILO;95;NONE;05867000;JARDIM BOA ESPERANCA;SAO PAULO;SP;1158733092;atendimento@woden.ind.br;['JESSICA PEREIRA CUNHA - Titular Pessoa Física Residente ou Domiciliado no Brasil'];"['4663000 - Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças']";['2539001 - Serviços de usinagem, tornearia e solda', '2543800 - Fabricação de ferramentas', '2869100 - Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios', '3032600 - Fabricação de peças e acessórios para veículos ferroviários', '3314710 - Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente']
24691492000177;LIFE MATERIALS LATAM - CONSULTORIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA;NONE;MATRIZ;29/04/2016;ATIVA;29/04/2016;57202.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R CERRO CORA;1851;SALA 09;05061350;VILA ROMANA;SAO PAULO;SP;1184440175;ricardo.prospero@lifematerials.com;['RICARDO PROSPERO - Sócio-Administrador', 'LIFE MATERIAL TECHNOLOGIES LIMITED - Sócio Pessoa Jurídica Domiciliado no Exterior'];['4684201 - Comércio atacadista de resinas e elastômeros'];['6463800 - Outras sociedades de participação, exceto holdings', '7020400 - Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica']
21158952000108;DANIEL MALAGUTTI E OUTROS;NONE;MATRIZ;02/10/2014;ATIVA;02/10/2014;0.0;4120 - PRODUTOR RURAL (PESSOA FISICA);Não;FAZ RETIRO DE TABUAS;0;NONE;14350000;RURAL;ALTINOPOLIS;SP;['1636651900', '1636651910'];contabilidade@aptuscontabilidade.com.br;['DANIEL MALAGUTTI - Produtor Rural', 'VALDEMIR JOSE JULIO - Produtor Rural', 'MARIA DAS GRACAS PEREIRA - Produtor Rural', 'ANA CLAUDIA CUSTODIO DA SILVA JULIO - Produtor Rural'];['0134200 - Cultivo de café'];NONE
21244766000191;NOVA DISTRIBUIDORA DE COSMETICOS EIRELI;BUY O OUTLET DA BELEZA;MATRIZ;17/10/2014;BAIXADA;20/02/2019;93700.0;2305 - EMPRESA INDIVIDUAL DE RESP.LIMITADA (DE NATUREZA EMPRESARIA);Não;NONE;NONE;NONE;NONE;NONE;NONE;NONE;3135072100;adm@buy.com.vc;['WALTER GOMES DOLIDO - Titular Pessoa Física Residente ou Domiciliado no Brasil'];NONE;['4772500 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal', '4646002 - Comércio atacadista de produtos de higiene pessoal', '4789005 - Comércio varejista de produtos saneantes domissanitários', '4649408 - Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar', '4649409 - Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada', '4649499 - Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente']
05763921002335;CAV SUL - CENTRO DE APOIO DE VENDAS DE PRODUTOS PESSOAIS E ARTIGOS PARA LAR LTDA.;NONE;FILIAL;14/09/2016;ATIVA;14/09/2016;50000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;AV PREFEITO LUIZ SOUTO DOURADO;2724;NONE;55297320;NOVO HELIOPOLIS;GARANHUNS;PE;1121415408;andresacosta@cavsultupperware.com.br;['HERMANO DE VILLEMOR AMARAL NETO - Sócio', 'LATIN AMERICA INVESTMENTS, INC. - Sócio Pessoa Jurídica Domiciliado no Exterior', 'JULIO CESAR APARECIDO DA CRUZ - Administrador'];['4649499 - Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente'];['4646001 - Comércio atacadista de cosméticos e produtos de perfumaria']
25247053000132;HONORIO PAULO DE SOUZA LOCACOES;GASPAR LOCACOES;MATRIZ;20/07/2016;ATIVA;20/07/2016;100000.0;2135 - EMPRESARIO (INDIVIDUAL);Não;ROD BR 135;4;KM  21 INHAUMA;65095604;ESTIVA;SAO LUIS;MA;9832441205;honorio@gaspareng.com.br;NONE;['7739099 - Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador'];"['4663000 - Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças', '2599399 - Fabricação de outros produtos de metal não especificados anteriormente', '7732202 - Aluguel de andaimes', '7732201 - Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes']"
25302424000131;HONORIO PAULO DE SOUZA - EIRELI;GASPAR LOCACOES;MATRIZ;27/07/2016;ATIVA;27/07/2016;100000.0;2305 - EMPRESA INDIVIDUAL DE RESP.LIMITADA (DE NATUREZA EMPRESARIA);Não;ROD PA 160 SENTIDO CANAA DOS CARAJAS;S/N;KM  13;68515000;ZONA RURAL;PARAUAPEBAS;PA;9882750082;NONE;['HONORIO PAULO DE SOUZA - Titular Pessoa Física Residente ou Domiciliado no Brasil'];['7739099 - Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador'];"['4665600 - Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças', '7732201 - Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes']"
09628208000124;JOAO HENRIQUE SILVA BESSA E CIA LTDA;TERRA COSMETICOS;MATRIZ;23/10/2007;ATIVA;23/10/2007;900000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R FRANCISCO ALVES BORGES;125;NONE;35590000;MARTINS GUIMARAES;LAGOA DA PRATA;MG;3732818300;terracosmeticos@yahoo.com.br;['ALIETE NEIVA BESSA - Sócio-Administrador', 'MARIA BERNADETH SILVA BESSA SANTOS - Sócio-Administrador'];['2063100 - Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal'];['1099606 - Fabricação de adoçantes naturais e artificiais', '4646001 - Comércio atacadista de cosméticos e produtos de perfumaria', '4646002 - Comércio atacadista de produtos de higiene pessoal', '4772500 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal', '4930201 - Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.', '4930202 - Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional']
31292568000157;MAGBAN MARMORES E GRANITOS AQUIDABAN LTDA;NONE;MATRIZ;10/12/1986;ATIVA;24/09/2005;9364600.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;ROD GUMERCINO MOURA NUNES;S/N;N.S.FATIMA;29309362;VILLAGE DA LUZ;CACHOEIRO DE ITAPEMIRIM;ES;2835216244;contabil@magban.com.br;['TALES PENA MACHADO - Administrador', 'GONCALO PENA MACHADO - Administrador', 'FLAVIA PENA MACHADO BERNABE - Administrador', 'TM ADMINISTRACAO E PARTICIPACOES EIRELI - Sócio', 'FPMB ADMINISTRACAO E PARTICIPACOES EIRELI - Sócio', 'GPM ADMINISTRACAO E PARTICIPACOES EIRELI - Sócio', 'ICM ADMINISTRACAO E PARTICIPACOES EIRELI - Sócio', 'TCM ADMINISTRACAO E PARTICIPACOES EIRELI - Sócio', 'IGOR COELHO MACHADO - Administrador', 'TALES COELHO MACHADO - Administrador'];['2391503 - Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras'];"['810002 - Extração de granito e beneficiamento associado', '810003 - Extração de mármore e beneficiamento associado', '990403 - Atividades de apoio à extração de minerais não-metálicos', '4399104 - Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras', '4614100 - Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves', '4662100 - Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças', '4679602 - Comércio atacadista de mármores e granitos', '4684201 - Comércio atacadista de resinas e elastômeros', '4689399 - Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente', '4930202 - Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional', '7119702 - Atividades de estudos geológicos', '7739099 - Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador']"
49324221000880;FRESENIUS KABI BRASIL LTDA.;NONE;FILIAL;07/03/2003;ATIVA;03/11/2005;1011052476.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;ROD CE 040;SN;KM 10;61700000;JACUNDA;AQUIRAZ;CE;['1125041460', '1125041400'];marcos.mantoani@fresenius-kabi.com;['GUSTAVO PAGANI - Administrador', 'FRESENIUS KABI AG - Sócio Pessoa Jurídica Domiciliado no Exterior', 'HERNANI JORGE DOS SANTOS SILVA UMBELINO SERIO - Administrador', 'FRESENIUS HOLDING BV - Sócio Pessoa Jurídica Domiciliado no Exterior'];['2121101 - Fabricação de medicamentos alopáticos para uso humano'];['2222600 - Fabricação de embalagens de material plástico']
27315263000146;VJFPALLETS LTDA;VJFPALLETS;MATRIZ;15/03/2017;ATIVA;15/03/2017;6000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;AV INDUSTRIAL;1705;NONE;12321500;JARDIM EMILIA;JACAREI;SP;1288434599;vjfpallets@hotmail.com;['VALCIR JULIO DE FRANCA - Sócio-Administrador', 'VALDEIR JULIO DE FRANCA - Sócio-Administrador'];['4686902 - Comércio atacadista de embalagens'];['3319800 - Manutenção e reparação de equipamentos e produtos não especificados anteriormente', '3839499 - Recuperação de materiais não especificados anteriormente']
02318378000163;HOTEL SKY LTDA;NONE;MATRIZ;08/12/1997;ATIVA;03/11/2005;410000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;AV DAS HORTENSIAS;680;SALA 2;95670000;PLANALTO;GRAMADO;RS;5432861935;NONE;['HILARIO DARCI KRAUSPENHAR - Sócio-Administrador', 'NAIR MARIA LEOBET KRAUSPENHAR - Sócio-Administrador'];['5510801 - Hotéis'];['8230001 - Serviços de organização de feiras, congressos, exposições e festas']
43048644000162;LA LUPE INDUSTRIA E COMERCIO LTDA;GRAMPOS LA LUPE;MATRIZ;01/07/1971;ATIVA;06/03/2004;99990.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R SEGUNDO-TENENTE RENATO OMETI;304;324;07181010;JARDIM CUMBICA;GUARULHOS;SP;1124124932;lalupe@greco.com.br;['IVETTE KYRILLOS - Sócio-Administrador', 'SERGIO LUIZ KYRILLOS - Sócio-Administrador', 'ABILIO KYRILLOS FILHO - Sócio-Administrador', 'CLAUDIO MARCOS KYRILLOS - Sócio-Administrador'];['2593400 - Fabricação de artigos de metal para uso doméstico e pessoal'];NONE
52780376000160;B. A. P. AUTOMOTIVA LTDA.;NONE;MATRIZ;21/01/1970;ATIVA;03/11/2005;15931320.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R LAURA ALBANI DE BARROS;157;COMP. EMP. BARROS     MOD. 11 12 14 A 18    19A E 19B;13800478;SAUDE;MOGI MIRIM;SP;['1124412510', '1171708607'];barros@barros.com.br;['FERNANDO FERNANDES DE BARROS - Sócio-Administrador', 'MARIA ANTONIA VELO DE BARROS - Sócio-Administrador', 'MARIA ELISABETE GARROS DE BARROS - Sócio-Administrador'];['4530701 - Comércio por atacado de peças e acessórios novos para veículos automotores'];['4520001 - Serviços de manutenção e reparação mecânica de veículos automotores', '4520004 - Serviços de alinhamento e balanceamento de veículos automotores', '4520005 - Serviços de lavagem, lubrificação e polimento de veículos automotores', '4530703 - Comércio a varejo de peças e acessórios novos para veículos automotores', '4530705 - Comércio a varejo de pneumáticos e câmaras-de-ar', '4729602 - Comércio varejista de mercadorias em lojas de conveniência', '7739099 - Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador', '8211300 - Serviços combinados de escritório e apoio administrativo']
43372168000130;EDMAR ESTRUTURAS METALICAS EIRELI;NONE;MATRIZ;01/09/1972;ATIVA;03/11/2005;100000.0;2305 - EMPRESA INDIVIDUAL DE RESP.LIMITADA (DE NATUREZA EMPRESARIA);Não;AV DAS NACOES UNIDAS;12995;SALA 1025 D;04578000;BROOKLIN PAULISTA;SAO PAULO;SP;1132798000;reparticoes@contabilidadehirata.com.br;['EDSON FRANCO GATTAI - Titular Pessoa Física Residente ou Domiciliado no Brasil'];['2542000 - Fabricação de artigos de serralheria, exceto esquadrias'];NONE
43130186000106;JOCAR PECAS E ACESSORIOS PARA VEICULOS LTDA;JOCAR LAPA;MATRIZ;18/11/1971;ATIVA;03/11/2005;10370000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R GUAICURUS;65;77 E 87;05033000;AGUA BRANCA;SAO PAULO;SP;1137970700;sac@jocar.com.br;['JOAO SIRVENTE DE MOURA - Sócio-Administrador', 'RITA REGINA DE ASSIS SIRVENTE - Sócio-Administrador', 'MOISES DE ASSIS SIRVENTE - Sócio-Administrador', 'DANIEL DE ASSIS SIRVENTE - Sócio-Administrador'];['4530701 - Comércio por atacado de peças e acessórios novos para veículos automotores'];"['4530703 - Comércio a varejo de peças e acessórios novos para veículos automotores', '4649403 - Comércio atacadista de bicicletas, triciclos e outros veículos recreativos', '4763603 - Comércio varejista de bicicletas e triciclos; peças e acessórios']"
08224726000209;OSMAR CARDOSO DA SILVA;NONE;FILIAL;13/09/2006;ATIVA;13/09/2006;0.0;4120 - PRODUTOR RURAL (PESSOA FISICA);Não;SIT NOSSA SENHORA APARECIDA;S/N;NONE;14350000;RURAL;ALTINOPOLIS;SP;['1636651900', '1699978572'];contabilidade@conag.com.br;NONE;['0134200 - Cultivo de café'];['115600 - Cultivo de soja', '111302 - Cultivo de milho']
61186490000238;EDITORA FTD S A;EDITORA FTD;FILIAL;10/09/2003;ATIVA;04/10/2003;250401788.11;2054 - SOCIEDADE ANONIMA FECHADA;Não;R 68;710;NONE;74055100;CENTRO;GOIANIA;GO;NONE;fiscal@ftd.com.br;['DARIO BORTOLINI - Diretor', 'DELCIO AFONSO BALESTRIN - Presidente', 'ANTONIO LUIZ RIOS DA SILVA - Diretor', 'IDATHY APARECIDA PEQUENO MUNHOZ - Diretor', 'RICARDO TAVARES DE OLIVEIRA - Diretor', 'ANDRE DANIEL VASCONCELOS - Diretor', 'REGINALDO SOARES DAMASCENO - Diretor', 'CECILIANY ALVES FEITOSA - Diretor', 'ANTONIO BENEDITO DE OLIVEIRA - Conselheiro de Administração', 'JORGE GAIO - Conselheiro de Administração', 'LINO ALFONSO JUNGBLUTH - Conselheiro de Administração', 'RICARDO GRAU - Conselheiro de Administração', 'ROGERIO RENATO MATEUCCI - Conselheiro de Administração', 'VANDERLEI SIQUEIRA DOS SANTOS - Conselheiro de Administração', 'TERCILIO SEVEGNANI - Conselheiro de Administração', 'PAULO SERINO DE SOUZA - Conselheiro de Administração', 'ARAMIS ANTONIO DA LUZ - Diretor'];['4647802 - Comércio atacadista de livros, jornais e outras publicações'];['4761001 - Comércio varejista de livros', '6311900 - Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet', '8550302 - Atividades de apoio à educação, exceto caixas escolares', '8599604 - Treinamento em desenvolvimento profissional e gerencial']
46044053007622;NORTEL SUPRIMENTOS INDUSTRIAIS LTDA;NORTEL SUPRIMENTOS INDUSTRIAIS SA;FILIAL;01/10/2012;ATIVA;01/10/2012;290536290.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R JOSE SZAKALL;117;NONE;01140120;VARZEA DA BARRA FUNDA;SAO PAULO;SP;['1921027700', '1921027707'];janaina.bovolenta@nortel.com.br;['CARLOS ALBERTO BERGAMO - Administrador', 'SONEPAR SOUTH AMERICA PARTICIPACOES LTDA - Sócio', 'HERVE SALMON - Sócio', 'MARCOS ROCHA DE OLIVEIRA - Administrador'];['4742300 - Comércio varejista de material elétrico'];['4744001 - Comércio varejista de ferragens e ferramentas', '4744099 - Comércio varejista de materiais de construção em geral', '4754703 - Comércio varejista de artigos de iluminação', '4782201 - Comércio varejista de calçados', '4781400 - Comércio varejista de artigos do vestuário e acessórios', '4530703 - Comércio a varejo de peças e acessórios novos para veículos automotores']
05763921000391;CAV SUL - CENTRO DE APOIO DE VENDAS DE PRODUTOS PESSOAIS E ARTIGOS PARA LAR LTDA.;CAV SUL;FILIAL;20/10/2003;ATIVA;20/10/2003;50000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R FORMOSA;173;GALPAOPORTAL DA SERRA;83325070;EMILIANO PERNETA;PINHAIS;PR;4130143922;processos2@rhdconsultores.com.br;['HERMANO DE VILLEMOR AMARAL NETO - Sócio', 'LATIN AMERICA INVESTMENTS, INC. - Sócio Pessoa Jurídica Domiciliado no Exterior', 'JULIO CESAR APARECIDO DA CRUZ - Administrador'];['4649499 - Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente'];['4646001 - Comércio atacadista de cosméticos e produtos de perfumaria']
02461250000154;FARMACIA FARIAS LTDA;NONE;MATRIZ;18/02/1998;ATIVA;03/11/2005;50000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R UBALDO MALTA;84;NONE;57540000;CENTRO;MATA GRANDE;AL;NONE;NONE;['JOSEFA ANAIR FARIAS DE OLIVEIRA MALTA - Sócio-Administrador', 'HUMBERTO JORGE FARIAS DE OLIVEIRA - Sócio'];['4771701 - Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas'];NONE
61186490001552;EDITORA FTD S A;NONE;FILIAL;24/07/1973;ATIVA;04/10/2003;250401788.11;2054 - SOCIEDADE ANONIMA FECHADA;Não;R RAMIRO BARCELO;344;NONE;90035000;FLORESTA;PORTO ALEGRE;RS;NONE;fiscal@ftd.com.br;['DARIO BORTOLINI - Diretor', 'DELCIO AFONSO BALESTRIN - Presidente', 'ANTONIO LUIZ RIOS DA SILVA - Diretor', 'IDATHY APARECIDA PEQUENO MUNHOZ - Diretor', 'RICARDO TAVARES DE OLIVEIRA - Diretor', 'ANDRE DANIEL VASCONCELOS - Diretor', 'REGINALDO SOARES DAMASCENO - Diretor', 'CECILIANY ALVES FEITOSA - Diretor', 'ANTONIO BENEDITO DE OLIVEIRA - Conselheiro de Administração', 'JORGE GAIO - Conselheiro de Administração', 'LINO ALFONSO JUNGBLUTH - Conselheiro de Administração', 'RICARDO GRAU - Conselheiro de Administração', 'ROGERIO RENATO MATEUCCI - Conselheiro de Administração', 'VANDERLEI SIQUEIRA DOS SANTOS - Conselheiro de Administração', 'TERCILIO SEVEGNANI - Conselheiro de Administração', 'PAULO SERINO DE SOUZA - Conselheiro de Administração', 'ARAMIS ANTONIO DA LUZ - Diretor'];['4761001 - Comércio varejista de livros'];['6311900 - Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet', '8550302 - Atividades de apoio à educação, exceto caixas escolares', '8599604 - Treinamento em desenvolvimento profissional e gerencial']
48877989000304;FITAS DE ACO MCM LTDA;NONE;FILIAL;17/08/2004;ATIVA;03/11/2005;5144019.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R FRANCISCO FOGA;900;NONE;13288166;DISTRITO INDUSTRIAL BENEDITO STORANI;VINHEDO;SP;1938569595;nilceia@tokcontabil.com.br;['RENATO BEVILACQUA - Sócio-Administrador', 'CARLA BEVILACQUA - Sócio'];['2599399 - Fabricação de outros produtos de metal não especificados anteriormente'];['2599301 - Serviços de confecção de armações metálicas para a construção', '3292202 - Fabricação de equipamentos e acessórios para segurança pessoal e profissional', '3299003 - Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos', '3319800 - Manutenção e reparação de equipamentos e produtos não especificados anteriormente']
13540173000144;MARSON - HOLDING PATRIMONIAL LTDA;NONE;MATRIZ;15/04/2011;ATIVA;15/04/2011;1873000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R DOS ITALIANOS;73;NONE;13930000;CENTRO;SERRA NEGRA;SP;['1131862977', '1131862977'];renata@revisora.com.br;['RODRIGO HENRIQUE MARSON - Sócio-Administrador', 'EDSON JOSE MARSON - Sócio-Administrador', 'RAFAEL GUSTAVO MARSON - Sócio-Administrador', 'RENATO CESAR MARSON - Sócio'];['6462000 - Holdings de instituições não-financeiras'];['6810202 - Aluguel de imóveis próprios', '6810201 - Compra e venda de imóveis próprios', '7719599 - Locação de outros meios de transporte não especificados anteriormente, sem condutor', '7732201 - Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes', '7711000 - Locação de automóveis sem condutor']
61186490001633;EDITORA FTD S A;NONE;FILIAL;19/11/1973;ATIVA;03/11/2005;250401788.11;2054 - SOCIEDADE ANONIMA FECHADA;Não;AV ANTONIO BARDELLA;300;NONE;07220020;CUMBICA;GUARULHOS;SP;NONE;fiscal@ftd.com.br;['DARIO BORTOLINI - Diretor', 'DELCIO AFONSO BALESTRIN - Presidente', 'ANTONIO LUIZ RIOS DA SILVA - Diretor', 'IDATHY APARECIDA PEQUENO MUNHOZ - Diretor', 'RICARDO TAVARES DE OLIVEIRA - Diretor', 'ANDRE DANIEL VASCONCELOS - Diretor', 'REGINALDO SOARES DAMASCENO - Diretor', 'CECILIANY ALVES FEITOSA - Diretor', 'ANTONIO BENEDITO DE OLIVEIRA - Conselheiro de Administração', 'JORGE GAIO - Conselheiro de Administração', 'LINO ALFONSO JUNGBLUTH - Conselheiro de Administração', 'RICARDO GRAU - Conselheiro de Administração', 'ROGERIO RENATO MATEUCCI - Conselheiro de Administração', 'VANDERLEI SIQUEIRA DOS SANTOS - Conselheiro de Administração', 'TERCILIO SEVEGNANI - Conselheiro de Administração', 'PAULO SERINO DE SOUZA - Conselheiro de Administração', 'ARAMIS ANTONIO DA LUZ - Diretor'];['1811302 - Impressão de livros, revistas e outras publicações periódicas'];['1811301 - Impressão de jornais', '4647802 - Comércio atacadista de livros, jornais e outras publicações', '4761001 - Comércio varejista de livros', '6311900 - Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet', '8550302 - Atividades de apoio à educação, exceto caixas escolares', '8599604 - Treinamento em desenvolvimento profissional e gerencial']
